latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.05834,78.99197,348.54,0.52,0.5,2020-04-21,717,N,VIIRS,n,2,303.28,6.84,D,0
29.18976,79.14156,343.43,0.51,0.49,2020-04-21,717,N,VIIRS,n,2,302.31,5.78,D,0
29.19,79.13887,344.16,0.51,0.49,2020-04-21,717,N,VIIRS,n,2,301.77,3.81,D,0
29.03111,79.21001,330.5,0.52,0.67,2020-04-22,839,N,VIIRS,n,2,301.1,2.44,D,0
29.03369,79.21085,334.12,0.52,0.67,2020-04-22,839,N,VIIRS,n,2,300.67,5.22,D,0
29.03232,79.07387,339.9,0.52,0.5,2020-04-23,820,N,VIIRS,n,2,298.78,9.25,D,0
29.0335,79.07049,339.26,0.52,0.5,2020-04-23,820,N,VIIRS,n,2,298.76,3.9,D,0
29.12915,79.00719,336.64,0.52,0.5,2020-04-23,820,N,VIIRS,n,2,299.55,2.63,D,0
29.24888,78.86213,330.35,0.51,0.5,2020-04-23,820,N,VIIRS,l,2,302.4,4.2,D,0
29.00801,79.03841,337.4,0.44,0.39,2020-04-24,801,N,VIIRS,l,2,309.03,1.91,D,0
29.11571,79.01309,334.16,0.44,0.39,2020-04-24,801,N,VIIRS,l,2,307.72,2.03,D,0
29.13836,79.45797,339.34,0.46,0.39,2020-04-24,801,N,VIIRS,n,2,306.18,3.86,D,0
29.18304,79.34218,332.38,0.46,0.39,2020-04-24,801,N,VIIRS,n,2,301.34,1.94,D,0
29.18316,79.05788,335.66,0.45,0.39,2020-04-24,801,N,VIIRS,l,2,306.39,1.82,D,0
29.27932,78.80769,334.18,0.44,0.38,2020-04-24,801,N,VIIRS,l,2,307.64,4.81,D,0
29.27989,78.81219,336.88,0.44,0.38,2020-04-24,801,N,VIIRS,l,2,307.08,4.81,D,0
29.28033,78.811,345.81,0.44,0.38,2020-04-24,801,N,VIIRS,n,2,308.14,10.03,D,0
29.05405,79.96141,335.21,0.39,0.36,2020-04-25,742,N,VIIRS,n,2,289.4,3.73,D,0
29.27088,79.11166,332.55,0.4,0.37,2020-04-25,742,N,VIIRS,l,2,304.13,4.31,D,0
29.04833,79.12415,330.02,0.33,0.55,2020-04-28,826,N,VIIRS,n,2,294.71,1.12,D,0
29.12228,79.1216,335.42,0.33,0.55,2020-04-28,826,N,VIIRS,n,2,294.79,1.89,D,0
29.02468,79.72974,341.66,0.56,0.43,2020-04-29,807,N,VIIRS,n,2,296.78,11.27,D,0
29.10505,79.0205,332.81,0.52,0.42,2020-04-29,807,N,VIIRS,n,2,297.99,3.25,D,0
29.12996,78.96765,330.78,0.52,0.41,2020-04-29,807,N,VIIRS,n,2,297.19,1.81,D,0
29.01757,79.72363,337.93,0.39,0.36,2020-04-30,748,N,VIIRS,n,2,299.41,2.55,D,0
29.01815,79.72759,333.21,0.39,0.36,2020-04-30,748,N,VIIRS,n,2,299.69,2.55,D,0
29.02088,79.723,345.03,0.39,0.36,2020-04-30,748,N,VIIRS,n,2,302.02,7.36,D,0
29.19716,79.17923,333.15,0.38,0.36,2020-04-30,748,N,VIIRS,n,2,302.09,1.98,D,0
29.19905,79.10196,336.87,0.38,0.36,2020-04-30,748,N,VIIRS,n,2,302.66,30.11,D,0
29.6068,78.55948,330.16,0.38,0.36,2020-04-30,749,N,VIIRS,n,2,299.96,2.79,D,0
29.07358,79.38887,308.05,0.53,0.5,2020-05-01,1954,N,VIIRS,n,2,289.51,1.44,N,0
29.07632,79.38464,301.97,0.53,0.5,2020-05-01,1954,N,VIIRS,n,2,289.39,0.68,N,0
29.01366,79.69636,330.61,0.59,0.53,2020-05-02,711,N,VIIRS,n,2,295.18,3.07,D,0
29.01541,79.69779,332.42,0.59,0.53,2020-05-02,711,N,VIIRS,n,2,295.84,3.06,D,0
29.04775,78.61297,345.45,0.34,0.56,2020-05-02,711,N,VIIRS,n,2,294.6,4.86,D,0
29.0499,79.07837,331.05,0.32,0.55,2020-05-02,711,N,VIIRS,n,2,293.43,1.63,D,0
29.08381,79.22781,341.62,0.63,0.54,2020-05-02,711,N,VIIRS,n,2,295.04,7.16,D,0
29.00252,79.71122,341.92,0.45,0.63,2020-05-03,832,N,VIIRS,n,2,288.91,3.81,D,0
29.00364,79.71052,341.35,0.44,0.63,2020-05-03,832,N,VIIRS,n,2,289.19,4.38,D,0
29.16407,79.17159,330.29,0.41,0.61,2020-05-03,832,N,VIIRS,n,2,293.55,4.34,D,0
29.00979,79.26991,335.87,0.4,0.37,2020-05-05,755,N,VIIRS,l,2,307.5,2.61,D,0
29.02179,79.13288,341.73,0.4,0.37,2020-05-05,755,N,VIIRS,n,2,305.26,4.72,D,0
29.03118,78.58361,339.45,0.39,0.36,2020-05-05,755,N,VIIRS,n,2,305.62,3.04,D,0
29.032,79.35493,334.18,0.4,0.37,2020-05-05,755,N,VIIRS,n,2,300.51,1.48,D,0
29.07038,79.0282,336.71,0.4,0.37,2020-05-05,755,N,VIIRS,n,2,303.86,2.39,D,0
29.14474,79.09016,343.56,0.4,0.37,2020-05-05,755,N,VIIRS,n,2,305.07,4.2,D,0
29.17731,79.04679,333.86,0.4,0.37,2020-05-05,755,N,VIIRS,n,2,302.78,2.46,D,0
29.18068,79.04617,340.34,0.4,0.37,2020-05-05,755,N,VIIRS,n,2,305.27,4.31,D,0
29.20032,79.03839,332.74,0.4,0.37,2020-05-05,755,N,VIIRS,n,2,302.33,1.19,D,0
29.20533,79.02488,336.27,0.4,0.37,2020-05-05,755,N,VIIRS,n,2,302.64,3.27,D,0
29.22984,79.12559,332.92,0.4,0.37,2020-05-05,755,N,VIIRS,l,2,303.32,1.83,D,0
29.25153,79.02617,331.01,0.4,0.37,2020-05-05,755,N,VIIRS,l,2,303.5,1.6,D,0
29.2892,78.63584,338.88,0.39,0.36,2020-05-05,755,N,VIIRS,n,2,305.46,3.2,D,0
29.08077,78.98293,335.56,0.45,0.39,2020-05-06,736,N,VIIRS,n,2,298.72,4.12,D,0
29.20063,79.16557,332.73,0.52,0.67,2020-05-08,839,N,VIIRS,n,2,299.51,3.06,D,0
29.20215,79.16506,331.01,0.52,0.66,2020-05-08,839,N,VIIRS,n,2,299.22,4.97,D,0
29.0073,79.69969,342.31,0.57,0.52,2020-05-09,820,N,VIIRS,n,2,299.26,9.31,D,0
29.14736,79.13078,338.65,0.53,0.5,2020-05-09,820,N,VIIRS,n,2,298.72,4.21,D,0
29.21849,79.16391,341.98,0.53,0.5,2020-05-09,820,N,VIIRS,n,2,299.49,5.45,D,0
29.25846,79.03681,331.68,0.52,0.5,2020-05-09,820,N,VIIRS,n,2,299.2,3.35,D,0
29.27753,79.03999,346.75,0.52,0.5,2020-05-09,820,N,VIIRS,n,2,299.19,6.82,D,0
29.14283,79.00484,330.11,0.42,0.45,2020-05-12,723,N,VIIRS,n,2,295.51,2.33,D,0
29.00674,79.45018,336.04,0.34,0.56,2020-05-14,826,N,VIIRS,n,2,301.61,1.75,D,0
29.13023,79.15459,335.24,0.33,0.55,2020-05-14,826,N,VIIRS,n,2,301.26,2.18,D,0
29.15624,79.26603,333.65,0.34,0.56,2020-05-14,826,N,VIIRS,n,2,300.24,1.94,D,0
29.19042,79.57221,332.29,0.35,0.57,2020-05-14,826,N,VIIRS,n,2,301.63,1.8,D,0
29.21212,79.18264,344.52,0.33,0.55,2020-05-14,826,N,VIIRS,n,2,299.31,3.86,D,0
29.23899,79.01019,331.49,0.32,0.55,2020-05-14,826,N,VIIRS,n,2,301.23,1.72,D,0
29.24186,79.00869,335.56,0.32,0.55,2020-05-14,826,N,VIIRS,n,2,302.07,2.13,D,0
29.29657,79.04741,340.64,0.33,0.55,2020-05-14,826,N,VIIRS,n,2,301.4,2.7,D,0
29.00019,79.28373,335.54,0.53,0.42,2020-05-15,807,N,VIIRS,l,2,308.26,3.0,D,0
29.00052,79.80009,335.1,0.57,0.43,2020-05-15,807,N,VIIRS,n,2,304.89,2.21,D,0
29.00451,79.79951,335.74,0.57,0.43,2020-05-15,807,N,VIIRS,n,2,304.87,4.19,D,0
29.09826,79.48244,339.28,0.55,0.43,2020-05-15,807,N,VIIRS,n,2,308.13,10.75,D,0
29.09828,79.47879,336.46,0.55,0.43,2020-05-15,807,N,VIIRS,n,2,307.9,5.52,D,0
29.15322,79.13602,337.71,0.53,0.42,2020-05-15,807,N,VIIRS,n,2,309.07,2.57,D,0
29.15471,79.13869,339.63,0.53,0.42,2020-05-15,807,N,VIIRS,n,2,309.82,3.65,D,0
29.16798,79.01563,345.44,0.52,0.42,2020-05-15,807,N,VIIRS,n,2,309.69,7.54,D,0
29.17385,79.17729,339.26,0.53,0.42,2020-05-15,807,N,VIIRS,n,2,307.85,5.01,D,0
29.17449,79.17456,343.59,0.53,0.42,2020-05-15,807,N,VIIRS,n,2,307.19,4.45,D,0
29.25984,79.04963,335.56,0.52,0.42,2020-05-15,807,N,VIIRS,n,2,306.83,2.88,D,0
